week,home_team,away_team,moneyline
11,Detroit Lions_1971,Kansas City Chiefs_1971,1
11,Dallas Cowboys_1971,Los Angeles Rams_1971,1
11,Buffalo Bills_1971,New England Patriots_1971,1
11,Cincinnati Bengals_1971,San Diego Chargers_1971,1
11,New York Giants_1971,St. Louis Cardinals_1971,-1
11,Pittsburgh Steelers_1971,Denver Broncos_1971,-1
11,New York Jets_1971,San Francisco 49ers_1971,-1
11,Philadelphia Eagles_1971,Washington Redskins_1971,-1
11,Minnesota Vikings_1971,Atlanta Falcons_1971,1
11,Green Bay Packers_1971,New Orleans Saints_1971,-1
11,Houston Oilers_1971,Cleveland Browns_1971,-1
11,Oakland Raiders_1971,Baltimore Colts_1971,-1
11,Miami Dolphins_1971,Chicago Bears_1971,1
12,Dallas Cowboys_1971,New York Jets_1971,1
12,Atlanta Falcons_1971,Oakland Raiders_1971,1
12,Cleveland Browns_1971,Cincinnati Bengals_1971,1
12,Detroit Lions_1971,Philadelphia Eagles_1971,-1
12,New England Patriots_1971,Miami Dolphins_1971,1
12,Washington Redskins_1971,New York Giants_1971,1
12,Baltimore Colts_1971,Buffalo Bills_1971,1
12,Houston Oilers_1971,Pittsburgh Steelers_1971,1
12,Denver Broncos_1971,Chicago Bears_1971,1
12,St. Louis Cardinals_1971,Green Bay Packers_1971,-1
12,San Diego Chargers_1971,Minnesota Vikings_1971,1
12,Los Angeles Rams_1971,New Orleans Saints_1971,1
12,San Francisco 49ers_1971,Kansas City Chiefs_1971,-1
13,Minnesota Vikings_1971,Detroit Lions_1971,1
13,Baltimore Colts_1971,Miami Dolphins_1971,1
13,Buffalo Bills_1971,Houston Oilers_1971,-1
13,Cincinnati Bengals_1971,Pittsburgh Steelers_1971,-1
13,Philadelphia Eagles_1971,St. Louis Cardinals_1971,1
13,New York Giants_1971,Dallas Cowboys_1971,-1
13,New York Jets_1971,New England Patriots_1971,1
13,Green Bay Packers_1971,Chicago Bears_1971,1
13,New Orleans Saints_1971,Cleveland Browns_1971,-1
13,San Francisco 49ers_1971,Atlanta Falcons_1971,1
13,San Diego Chargers_1971,Denver Broncos_1971,1
13,Kansas City Chiefs_1971,Oakland Raiders_1971,1
13,Los Angeles Rams_1971,Washington Redskins_1971,-1
14,Dallas Cowboys_1971,St. Louis Cardinals_1971,1
14,New York Jets_1971,Cincinnati Bengals_1971,1
14,Washington Redskins_1971,Cleveland Browns_1971,-1
14,Miami Dolphins_1971,Green Bay Packers_1971,1
14,New York Giants_1971,Philadelphia Eagles_1971,-1
14,Pittsburgh Steelers_1971,Los Angeles Rams_1971,-1
14,New Orleans Saints_1971,Atlanta Falcons_1971,-1
14,Kansas City Chiefs_1971,Buffalo Bills_1971,1
14,Chicago Bears_1971,Minnesota Vikings_1971,-1
14,Baltimore Colts_1971,New England Patriots_1971,-1
14,Houston Oilers_1971,San Diego Chargers_1971,1
14,Oakland Raiders_1971,Denver Broncos_1971,1
14,San Francisco 49ers_1971,Detroit Lions_1971,1
21,Minnesota Vikings_1971,Dallas Cowboys_1971,-1
21,Kansas City Chiefs_1971,Miami Dolphins_1971,-1
21,Cleveland Browns_1971,Baltimore Colts_1971,-1
21,San Francisco 49ers_1971,Washington Redskins_1971,1
22,Dallas Cowboys_1971,San Francisco 49ers_1971,1
22,Miami Dolphins_1971,Baltimore Colts_1971,1
23,Miami Dolphins_1971,Dallas Cowboys_1971,-1
1,Buffalo Bills_1972,New York Jets_1972,-1
1,New England Patriots_1972,Cincinnati Bengals_1972,-1
1,Cleveland Browns_1972,Green Bay Packers_1972,-1
1,Pittsburgh Steelers_1972,Oakland Raiders_1972,1
1,Chicago Bears_1972,Atlanta Falcons_1972,-1
1,Baltimore Colts_1972,St. Louis Cardinals_1972,-1
1,Dallas Cowboys_1972,Philadelphia Eagles_1972,1
1,Detroit Lions_1972,New York Giants_1972,1
1,Denver Broncos_1972,Houston Oilers_1972,1
1,Kansas City Chiefs_1972,Miami Dolphins_1972,-1
1,Los Angeles Rams_1972,New Orleans Saints_1972,1
1,San Francisco 49ers_1972,San Diego Chargers_1972,1
1,Minnesota Vikings_1972,Washington Redskins_1972,-1
2,New England Patriots_1972,Atlanta Falcons_1972,1
2,Buffalo Bills_1972,San Francisco 49ers_1972,1
2,Cincinnati Bengals_1972,Pittsburgh Steelers_1972,1
2,Philadelphia Eagles_1972,Cleveland Browns_1972,-1
2,Washington Redskins_1972,St. Louis Cardinals_1972,1
2,New York Giants_1972,Dallas Cowboys_1972,-1
2,Miami Dolphins_1972,Houston Oilers_1972,1
2,Chicago Bears_1972,Los Angeles Rams_1972,-1
2,Baltimore Colts_1972,New York Jets_1972,-1
2,Green Bay Packers_1972,Oakland Raiders_1972,-1
2,San Diego Chargers_1972,Denver Broncos_1972,1
2,Detroit Lions_1972,Minnesota Vikings_1972,-1
2,New Orleans Saints_1972,Kansas City Chiefs_1972,-1
3,Atlanta Falcons_1972,Los Angeles Rams_1972,1
3,Buffalo Bills_1972,Baltimore Colts_1972,-1
3,Cleveland Browns_1972,Cincinnati Bengals_1972,1
3,New England Patriots_1972,Washington Redskins_1972,1
3,Chicago Bears_1972,Detroit Lions_1972,-1
3,St. Louis Cardinals_1972,Pittsburgh Steelers_1972,-1
3,Green Bay Packers_1972,Dallas Cowboys_1972,1
3,New Orleans Saints_1972,San Francisco 49ers_1972,-1
3,Houston Oilers_1972,New York Jets_1972,1
3,Denver Broncos_1972,Kansas City Chiefs_1972,-1
3,Minnesota Vikings_1972,Miami Dolphins_1972,-1
3,Oakland Raiders_1972,San Diego Chargers_1972,-1
3,Philadelphia Eagles_1972,New York Giants_1972,-1
4,Atlanta Falcons_1972,Detroit Lions_1972,-1
4,Buffalo Bills_1972,New England Patriots_1972,1
4,Cincinnati Bengals_1972,Denver Broncos_1972,1
4,Cleveland Browns_1972,Kansas City Chiefs_1972,-1
4,New York Jets_1972,Miami Dolphins_1972,-1
4,New York Giants_1972,New Orleans Saints_1972,1
4,Washington Redskins_1972,Philadelphia Eagles_1972,1
4,Green Bay Packers_1972,Chicago Bears_1972,1
4,Baltimore Colts_1972,San Diego Chargers_1972,-1
4,Minnesota Vikings_1972,St. Louis Cardinals_1972,-1
4,Dallas Cowboys_1972,Pittsburgh Steelers_1972,1
4,Los Angeles Rams_1972,San Francisco 49ers_1972,1
4,Houston Oilers_1972,Oakland Raiders_1972,-1
5,Cleveland Browns_1972,Chicago Bears_1972,-1
5,Miami Dolphins_1972,San Diego Chargers_1972,1
5,New England Patriots_1972,New York Jets_1972,-1
5,Philadelphia Eagles_1972,Los Angeles Rams_1972,-1
5,New Orleans Saints_1972,Atlanta Falcons_1972,-1
5,St. Louis Cardinals_1972,Washington Redskins_1972,-1
5,Oakland Raiders_1972,Buffalo Bills_1972,1
5,Kansas City Chiefs_1972,Cincinnati Bengals_1972,-1
5,Baltimore Colts_1972,Dallas Cowboys_1972,-1
5,Denver Broncos_1972,Minnesota Vikings_1972,-1
5,San Francisco 49ers_1972,New York Giants_1972,-1
5,Pittsburgh Steelers_1972,Houston Oilers_1972,1
5,Detroit Lions_1972,Green Bay Packers_1972,-1
6,Miami Dolphins_1972,Buffalo Bills_1972,1
6,New York Jets_1972,Baltimore Colts_1972,1
6,New York Giants_1972,St. Louis Cardinals_1972,1
6,Detroit Lions_1972,San Diego Chargers_1972,1
6,Pittsburgh Steelers_1972,New England Patriots_1972,1
6,Green Bay Packers_1972,Atlanta Falcons_1972,-1
6,Houston Oilers_1972,Cleveland Browns_1972,-1
6,Kansas City Chiefs_1972,Philadelphia Eagles_1972,-1
6,Los Angeles Rams_1972,Cincinnati Bengals_1972,1
6,Washington Redskins_1972,Dallas Cowboys_1972,1
6,Oakland Raiders_1972,Denver Broncos_1972,-1
6,San Francisco 49ers_1972,New Orleans Saints_1972,-1
6,Chicago Bears_1972,Minnesota Vikings_1972,1
7,Atlanta Falcons_1972,San Francisco 49ers_1972,-1
7,Buffalo Bills_1972,Pittsburgh Steelers_1972,-1
7,Cincinnati Bengals_1972,Houston Oilers_1972,1
7,New York Jets_1972,New England Patriots_1972,1
7,New York Giants_1972,Washington Redskins_1972,-1
7,St. Louis Cardinals_1972,Chicago Bears_1972,-1
7,Green Bay Packers_1972,Minnesota Vikings_1972,-1
7,New Orleans Saints_1972,Philadelphia Eagles_1972,1
7,Denver Broncos_1972,Cleveland Browns_1972,-1
7,Baltimore Colts_1972,Miami Dolphins_1972,-1
7,San Diego Chargers_1972,Kansas City Chiefs_1972,-1
7,Oakland Raiders_1972,Los Angeles Rams_1972,1
7,Dallas Cowboys_1972,Detroit Lions_1972,1
8,Buffalo Bills_1972,Miami Dolphins_1972,-1
8,Detroit Lions_1972,Chicago Bears_1972,1
8,Pittsburgh Steelers_1972,Cincinnati Bengals_1972,1
8,Cleveland Browns_1972,Houston Oilers_1972,1
8,Philadelphia Eagles_1972,St. Louis Cardinals_1972,-1
8,New York Giants_1972,Denver Broncos_1972,1
8,New York Jets_1972,Washington Redskins_1972,-1
8,Green Bay Packers_1972,San Francisco 49ers_1972,1
8,Minnesota Vikings_1972,New Orleans Saints_1972,1
8,Los Angeles Rams_1972,Atlanta Falcons_1972,1
8,San Diego Chargers_1972,Dallas Cowboys_1972,-1
8,Kansas City Chiefs_1972,Oakland Raiders_1972,1
8,New England Patriots_1972,Baltimore Colts_1972,-1
9,Atlanta Falcons_1972,New Orleans Saints_1972,1
9,New York Jets_1972,Buffalo Bills_1972,1
